siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
352702039,ASSOCIATION CECOFIA,Marguerittes,30320,30,2022-11-27,2022-11-17,Jugement de clôture pour extinction du passif,Jugement de clôture,A202202302468
801069048,ASSOCIATION LA PAUSE PAYSANNE,Risoul,05600,05,2022-11-25,2022-11-14,Autre jugement et ordonnance,Extrait de jugement,A202202291741
800429334,ASSOCIATION LES CONCERTS LYRIQUES DE LA VILLE,Paris,75017,75,2022-11-25,2022-11-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202292571
,ASSOCIATION GROUPEMENT D’EMPLOYEURS DE BLAYE,Le Cambout,22210,22,2022-11-24,2022-11-04,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202283648
441227584,ASSOCIATION OFFICE MUNICIPAL DES SPORTS DE BOURG-MADAME,Bourg-Madame,66760,66,2022-11-24,2022-11-10,Autre jugement prononçant,Jugement prononçant,A202202283821
520646571,ASSOCIATION CARIBEAN CULTURE PROD,Sainte-Rose,97115,971,2022-11-24,2022-11-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202283948
,ASSOCIATION ANIMATION RENAISSANCE D’AMBOISE,Amboise,37400,37,2022-11-24,2022-11-07,Dépôt de l'état des créances,Avis de dépôt,A202202283734
,ASSOCIATION PEDAGOGIQUE EDUCATION JEUNESSE APEJ,Le Moule,97160,971,2022-11-24,2022-11-10,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202202283949
,ASSOCIATION VACANCES CITOYENNES,Vaugrigneuse,91640,91,2022-11-24,2022-11-10,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202202283905
820739027,ASSOCIATION GROUPEMENT D’EMPLOYEURS LA PLAINE AOX COTEAUX,Clairac,47320,47,2022-11-23,2022-10-20,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202272155
782228019,ASSOCIATION ADEDOM 47,Villeneuve-sur-Lot,47300,47,2022-11-23,2022-11-02,Jugement arrêtant un plan de cession,Extrait de jugement,A202202272158
,ASSOCIATION DEPARTEMENTALE DES PUPILLES DE L’ENSEIGNEMENT PUBLIC DU MORBIHAN (ADPEP 56),Vannes,56000,56,2022-11-22,2022-11-14,Jugement modifiant le plan de sauvegarde,Extrait de jugement,A202202262677
491530077,ASSOCIATION C Par L E S Mo,Montauban,82000,82,2022-11-22,2022-11-15,Jugement modifiant le plan de redressement,Extrait de jugement,A202202262796
393706817,ASSOCIATION SPORTS OUVRIERS,Armentières,59280,59,2022-11-22,2022-11-04,Autre jugement et ordonnance,Extrait de jugement,A202202262705
779428598,ASSOCIATION MONTELIMAR JEUNESSE ET CULTURE,Montélimar,26200,26,2022-11-22,2022-06-08,Dépôt de l'état des créances,Avis de dépôt,A202202262573
499882512,L’ASSOCIATION BEFFROIS MEDIATION FAMILIALE,Lille,59000,59,2022-11-22,2022-11-04,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202262708
819433418,ASSOCIATION GROUPEMENT D’EMPLOYEURS SLBMO,Villenave,40110,40,2022-11-22,2022-11-07,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202262656
434038998,L’ASSOCIATION ACTEURS DE L’ECONOMIE,Lille,59000,59,2022-11-22,2022-11-04,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202262707
339300303,L’ASSOCIATION MJC-CS LA MAISON,Tourcoing,59200,59,2022-11-22,2022-11-04,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202262699
378593230,ASSOCIATION COMITE DES OEUVRES SOCIALES REGION HAUTS-DE-FRANCE (COS HAUTS-DE-FRANCE),Lille Cedex,59555,59,2022-11-22,2022-11-04,Autre jugement prononçant,Jugement prononçant,A202202262700
421617424,L’ASSOCIATION CAP SOLIDARITES,Lille,59000,59,2022-11-22,2022-11-04,Autre jugement prononçant,Jugement prononçant,A202202262702
,ASSOCIATION CTLM SENS,Sens,89100,89,2022-11-22,2022-11-07,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202202262816
,ASSOCIATION LYAN CONCEPT,Trilport,77470,77,2022-11-20,2022-11-08,Autre jugement de clôture,Jugement de clôture,A202202252265
484787379,ASSOCIATION AVANCE SERVICES,Vitry-sur-Seine,94400,94,2022-11-20,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202252376
407791680,ASSOCIATION LA COMPAGNIE D’AHAN,Saint-Sauflieu,80160,80,2022-11-20,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202252294
537927634,ASSOCIATION HARLEY DAVIDSON CLUB KELTIA,Ablon-sur-Seine,94480,94,2022-11-20,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202252377
483096400,ASSOCIATION LA REGIE DES QUARTIERS DE LAGABARE (AGIR BATIR REUSSIR POUR L’EMPLOI),Bègles,33130,33,2022-11-18,2022-11-04,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202242831
450820550,ASSOCIATION REGIMARK,Vire,14500,14,2022-11-18,2022-10-31,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202242728
